County,County_Name,Tract_Total_Units,Project_Total_Units,Difference,Tract_Unallocated,GNIS
NA,NA,1,3,2,1,34
1,Atlantic,4710,4729,19,292,34001
3,Bergen,3222,3219,-3,195,34003
5,Burlington,832,834,2,119,34005
7,Camden,7147,7111,-36,181,34007
9,Cape May,791,808,17,74,34009
11,Cumberland,2281,2280,-1,211,34011
13,Essex,21091,21036,-55,297,34013
15,Gloucester,1314,1309,-5,62,34015
17,Hudson,13978,13971,-7,271,34017
19,Hunterdon,119,117,-2,12,34019
21,Mercer,5534,5310,-224,87,34021
23,Middlesex,3417,3407,-10,161,34023
25,Monmouth,5242,5248,6,132,34025
27,Morris,2000,2000,0,299,34027
29,Ocean,1155,1145,-10,9,34029
31,Passaic,4394,4350,-44,77,34031
33,Salem,726,726,0,27,34033
35,Somerset,869,858,-11,55,34035
37,Sussex,417,417,0,4,34037
39,Union,5101,5121,20,579,34039
41,Warren,776,781,5,2,34041
Statewide,Statewide,85117,84780,-337,3147,